Pr_%
100
5
""
60
90
0
0
0
100
95
0
100
0
0
40
0
80
0
2
0
0
0
0
5
0
100
100
20
90
0
60
0
100
95
20
70
0
0
0
10
70
0
60
70
90
0
70
0
60
100
0
0
0
80
40
3
90
0
90
50
20
0
25
100
0
0
100
40
30
80
0
8
0
30
90
100
0
90
100
0
10
100
80
70
0
60
10
0
60
0
7
60
3
""
0
0
0
35
70
40
100
80
80
0
100
90
80
100
0
0
2
7
0
10
0
95
40
40
50
0
70
0
0
100
90
0
90
100
0
65
0
20
30
0
0
0
100
0
80
70
80
0
""
25
90
30
0
80
100
40
0
0
70
20
0
100
2
0
90
90
40
0
20
95
50
0
70
90
95
5
20
0
5
80
90
75
90
100
100
20
30
0
0
0
0
0
10
10
60
0
100
0
90
0
15
0
1
90
18
""
""
90
0
30
2
20
100
0
0
20
60
0
0
70
0
0
0
0
22
1
100
80
100
0
0
30
100
20
5
0
0
40
80
5
100
0
100
1
0
90
25
100
7
2
0
100
100
5
0
10
100
90
0
0
30
0
40
60
100
90
25
50
0
15
90
100
10
40
30
100
0
0
0
0
""
90
70
0
0
0
0
90
10
100
""
70
20
0
0
0
100
0
100
5
60
0
0
100
0
30
0
100
""
8
0
20
0
70
5
100
80
90
1
10
0
0
1
0
0
20
35
0
15
0
100
0
""
60
70
10
70
0
100
50
100
0
5
0
95
0
70
30
60
30
100
0
12
0
100
80
100
60
100
0
100
0
80
0
100
90
4
0
90
5
60
0
90
100
80
0
0
0
20
3
0
40
80
0
10
0
80
0
30
0
70
0
1
30
100
0
0
70
80
90
90
5
20
0
40
90
40
1
100
30
0
0
0
0
70
0
0
95
90
100
0
0
70
10
10
0
0
50
80
10
100
100
0
60
70
30
80
0
90
0
""
100
90
70
0
0
""
70
40
0
80
30
0
4
0
10
80
100
70
0
90
60
0
0
0
95
90
60
0
95
0
4
100
15
40
100
0
90
50
60
10
60
0
50
85
15
95
75
0
0
65
20
35
0
0
0
0
90
0
30
15
60
40
20
100
20
40
10
0
1
0
90
""
90
10
0
40
0
""
0
0
90
0
""
80
0
70
100
100
70
100
80
3
100
0
0
0
0
100
0
40
10
100
0
100
0
40
0
0
10
0
100
80
0
90
95
100
100
5
40
60
5
100
0
0
70
60
5
100
5
0
30
90
70
0
0
0
65
60
0
100
60
80
30
80
0
60
100
0
7
0
0
0
0
100
99
70
10
0
0
80
0
40
100
100
95
100
95
40
95
0
10
40
80
40
80
25
0
0
60
0
70
0
90
0
60
40
60
90
95
90
20
0
90
10
0
20
80
95
0
0
100
5
60
100
70
100
5
0
60
0
0
0
90
98
0
70
0
100
0
0
0
90
0
""
80
20
0
100
90
0
0
0
20
30
0
5
100
100
60
1
60
85
0
30
100
75
100
0
80
70
90
50
20
20
95
100
100
100
0
0
""
5
40
""
0
100
100
5
0
0
60
0
70
""
100
0
100
70
20
0
0
0
50
1
0
0
90
95
5
20
70
90
15
30
30
5
100
5
90
100
10
0
0
100
0
100
0
20
60
""
10
70
""
90
70
30
95
100
0
0
80
100
60
70
90
80
50
80
0
0
0
90
6
15
100
100
80
100
60
40
10
0
0
35
50
90
60
70
20
85
2
70
0
0
100
60
40
0
0
1
""
0
0
0
0
90
100
70
95
70
90
10
80
15
15
100
85
30
80
0
30
90
30
88
""
40
100
0
90
0
0
""
0
0
100
40
0
1
70
92
90
0
60
100
95
2
100
10
0
0
0
30
0
80
90
0
35
100
0
""
0
0
0
20
0
0
0
30
30
0
0
""
0
0
60
0
0
70
0
0
0
0
98
0
0
70
""
60
30
60
0
40
1
100
90
3
40
70
0
90
0
0
0
0
0
80
100
100
70
0
100
10
1
40
0
20
60
0
0
10
0
80
0
100
100
100
10
0
100
100
100
0
30
5
90
95
0
0
90
10
1
10
0
0
100
90
0
70
95
100
0
10
0
25
40
100
0
100
90
0
0
40
""
100
0
40
15
40
7
100
70
40
0
50
0
90
0
100
8
95
20
0
0
0
90
15
95
0
90
10
0
90
100
20
90
0
10
0
0
0
0
0
60
5
0
100
60
100
60
5
90
95
""
40
25
100
0
0
70
70
100
60
100
100
20
90
30
0
0
0
60
0
10
0
90
60
68
5
0
0
60
90
0
100
90
60
0
70
40
20
100
90
100
100
0
100
60
30
50
80
80
20
25
25
70
2
0
0
90
100
0
60
0
60
2
0
5
30
80
5
0
100
0
0
90
0
0
0
100
100
0
70
0
0
0
90
0
10
2
0
0
0
90
90
100
0
100
10
40
0
80
2
100
60
80
100
80
25
90
100
0
0
5
100
70
60
30
100
100
0
0
90
""
100
70
90
20
20
0
0
100
0
100
0
0
0
100
0
0
100
100
100
0
0
0
0
0
100
10
0
10
0
100
100
10
0
0
0
60
0
90
10
0
0
0
0
0
0
0
100
0
70
95
100
0
100
15
0
0
60
100
100
0
0
0
100
0
""
0
0
0
90
10
85
0
0
1
100
0
0
60
0
20
90
0
90
100
0
0
0
0
8
0
0
100
100
5
75
100
0
10
90
90
30
50
100
0
40
0
20
0
0
0
0
40
0
90
40
0
90
0
50
0
90
90
70
70
100
10
80
0
0
20
10
10
90
60
90
30
0
90
90
100
0
9
2
1
50
0
0
40
90
50
5
0
0
10
0
0
100
95
40
100
80
70
""
0
0
60
0
100
20
10
0
0
100
100
0
90
90
50
0
0
5
30
20
5
0
20
0
6
10
1
0
40
90
100
40
20
80
90
20
100
5
0
0
0
98
90
100
8
3
0
10
0
0
90
0
100
0
0
100
0
60
0
60
